USER_ID,CAUSE_RANK,CAUSE,SCORE
user_105,3,ANIMAL_RESCUE,0.173
user_105,4,EDUCATION,0.148
user_105,5,CLEAN_WATER,0.131
user_105,6,ENVIRONMENT,0.129
user_106,1,ANIMAL_RESCUE,0.203
user_106,2,DISASTER_RELIEF,0.185
user_106,3,ENVIRONMENT,0.176
user_106,4,COMMUNITY_HEALTH,0.158
user_106,5,CLEAN_WATER,0.146
user_106,6,EDUCATION,0.132
user_107,1,EDUCATION,0.205
user_107,2,ANIMAL_RESCUE,0.198
user_107,3,ENVIRONMENT,0.192
user_107,4,CLEAN_WATER,0.179
user_107,5,COMMUNITY_HEALTH,0.114
user_107,6,DISASTER_RELIEF,0.111
user_108,1,EDUCATION,0.197
user_108,2,ANIMAL_RESCUE,0.186
user_108,3,CLEAN_WATER,0.175
user_108,4,ENVIRONMENT,0.173
user_108,5,DISASTER_RELIEF,0.137
user_108,6,COMMUNITY_HEALTH,0.132
user_109,1,COMMUNITY_HEALTH,0.199
user_109,2,ANIMAL_RESCUE,0.188
user_109,3,DISASTER_RELIEF,0.183
user_109,4,CLEAN_WATER,0.179
user_109,5,ENVIRONMENT,0.148
user_109,6,EDUCATION,0.104
user_11,1,EDUCATION,0.209
user_11,2,DISASTER_RELIEF,0.173
user_11,3,CLEAN_WATER,0.170
user_11,4,COMMUNITY_HEALTH,0.162
user_11,5,ENVIRONMENT,0.145
user_11,6,ANIMAL_RESCUE,0.141
user_110,1,ANIMAL_RESCUE,0.251
user_110,2,CLEAN_WATER,0.171
user_110,3,EDUCATION,0.157
user_110,4,ENVIRONMENT,0.152
user_110,5,DISASTER_RELIEF,0.135
user_110,6,COMMUNITY_HEALTH,0.134
user_111,1,ANIMAL_RESCUE,0.210
user_111,2,ENVIRONMENT,0.175
user_111,3,DISASTER_RELIEF,0.169
user_111,4,COMMUNITY_HEALTH,0.156
user_111,5,CLEAN_WATER,0.156
user_111,6,EDUCATION,0.133
user_112,1,DISASTER_RELIEF,0.225
user_112,2,COMMUNITY_HEALTH,0.188
user_112,3,ANIMAL_RESCUE,0.171
user_112,4,EDUCATION,0.153
user_112,5,ENVIRONMENT,0.132
user_112,6,CLEAN_WATER,0.130
user_113,1,COMMUNITY_HEALTH,0.185
user_113,2,DISASTER_RELIEF,0.185
user_113,3,ANIMAL_RESCUE,0.174
user_113,4,CLEAN_WATER,0.173
user_113,5,ENVIRONMENT,0.151
user_113,6,EDUCATION,0.132
user_114,1,ANIMAL_RESCUE,0.245
user_114,2,EDUCATION,0.181
user_114,3,ENVIRONMENT,0.175
user_114,4,CLEAN_WATER,0.147
user_114,5,DISASTER_RELIEF,0.133
user_114,6,COMMUNITY_HEALTH,0.120
user_115,1,COMMUNITY_HEALTH,0.199
user_115,2,ANIMAL_RESCUE,0.184
user_115,3,CLEAN_WATER,0.182
user_115,4,DISASTER_RELIEF,0.158
user_115,5,ENVIRONMENT,0.152
user_115,6,EDUCATION,0.126
user_116,1,ANIMAL_RESCUE,0.212
user_116,2,ENVIRONMENT,0.179
user_116,3,DISASTER_RELIEF,0.164
user_116,4,COMMUNITY_HEALTH,0.161
user_116,5,EDUCATION,0.152
user_116,6,CLEAN_WATER,0.132
user_117,1,ANIMAL_RESCUE,0.205
user_117,2,ENVIRONMENT,0.183
user_117,3,EDUCATION,0.168
user_117,4,CLEAN_WATER,0.163
user_117,5,DISASTER_RELIEF,0.160
user_117,6,COMMUNITY_HEALTH,0.122
user_118,1,ENVIRONMENT,0.218
user_118,2,ANIMAL_RESCUE,0.193
user_118,3,DISASTER_RELIEF,0.160
user_118,4,CLEAN_WATER,0.147
user_118,5,COMMUNITY_HEALTH,0.144
user_118,6,EDUCATION,0.139
user_119,1,CLEAN_WATER,0.216
user_119,2,COMMUNITY_HEALTH,0.192
user_119,3,EDUCATION,0.169
user_119,4,ENVIRONMENT,0.149
user_119,5,ANIMAL_RESCUE,0.139
user_119,6,DISASTER_RELIEF,0.135
user_12,1,ANIMAL_RESCUE,0.199
user_12,2,CLEAN_WATER,0.179
user_12,3,DISASTER_RELIEF,0.166
user_12,4,COMMUNITY_HEALTH,0.159
user_12,5,ENVIRONMENT,0.158
user_12,6,EDUCATION,0.139
user_120,1,EDUCATION,0.195
user_120,2,ENVIRONMENT,0.190
user_120,3,ANIMAL_RESCUE,0.190
user_120,4,CLEAN_WATER,0.152
user_120,5,DISASTER_RELIEF,0.137
user_120,6,COMMUNITY_HEALTH,0.136
user_121,1,CLEAN_WATER,0.186
user_121,2,ANIMAL_RESCUE,0.183
user_121,3,COMMUNITY_HEALTH,0.182
user_121,4,DISASTER_RELIEF,0.161
user_121,5,EDUCATION,0.152
user_121,6,ENVIRONMENT,0.136
user_122,1,CLEAN_WATER,0.195
user_122,2,ANIMAL_RESCUE,0.181
user_122,3,ENVIRONMENT,0.177
user_122,4,EDUCATION,0.157
user_122,5,COMMUNITY_HEALTH,0.150
user_122,6,DISASTER_RELIEF,0.140
user_123,1,EDUCATION,0.218
user_123,2,DISASTER_RELIEF,0.176
user_123,3,COMMUNITY_HEALTH,0.173
user_123,4,CLEAN_WATER,0.155
user_123,5,ENVIRONMENT,0.142
user_123,6,ANIMAL_RESCUE,0.136
user_124,1,ANIMAL_RESCUE,0.241
user_124,2,ENVIRONMENT,0.190
user_124,3,CLEAN_WATER,0.148
user_124,4,COMMUNITY_HEALTH,0.146
user_124,5,DISASTER_RELIEF,0.143
user_124,6,EDUCATION,0.131
user_125,1,DISASTER_RELIEF,0.257
user_125,2,COMMUNITY_HEALTH,0.170
user_125,3,ENVIRONMENT,0.159
user_125,4,ANIMAL_RESCUE,0.145
user_125,5,EDUCATION,0.135
user_125,6,CLEAN_WATER,0.134
user_126,1,COMMUNITY_HEALTH,0.211
user_126,2,ANIMAL_RESCUE,0.193
user_126,3,CLEAN_WATER,0.184
user_126,4,DISASTER_RELIEF,0.179
user_126,5,EDUCATION,0.129
user_126,6,ENVIRONMENT,0.104
user_127,1,EDUCATION,0.207
user_127,2,DISASTER_RELIEF,0.188
user_127,3,CLEAN_WATER,0.173
user_127,4,COMMUNITY_HEALTH,0.163
user_127,5,ENVIRONMENT,0.141
user_127,6,ANIMAL_RESCUE,0.128
user_128,1,ANIMAL_RESCUE,0.261
user_128,2,CLEAN_WATER,0.169
user_128,3,ENVIRONMENT,0.163
user_128,4,EDUCATION,0.155
user_128,5,COMMUNITY_HEALTH,0.132
user_128,6,DISASTER_RELIEF,0.120
user_129,1,ANIMAL_RESCUE,0.222
user_129,2,ENVIRONMENT,0.166
user_129,3,DISASTER_RELIEF,0.164
user_129,4,COMMUNITY_HEALTH,0.158
user_129,5,EDUCATION,0.157
user_129,6,CLEAN_WATER,0.132
user_13,1,CLEAN_WATER,0.205
user_13,2,COMMUNITY_HEALTH,0.190
user_13,3,EDUCATION,0.189
user_13,4,ANIMAL_RESCUE,0.174
user_13,5,DISASTER_RELIEF,0.130
user_13,6,ENVIRONMENT,0.113
user_130,1,COMMUNITY_HEALTH,0.210
user_130,2,ANIMAL_RESCUE,0.198
user_130,3,CLEAN_WATER,0.188
user_130,4,DISASTER_RELIEF,0.154
user_130,5,EDUCATION,0.137
user_130,6,ENVIRONMENT,0.112
user_131,1,CLEAN_WATER,0.203
user_131,2,COMMUNITY_HEALTH,0.201
user_131,3,ANIMAL_RESCUE,0.194
user_131,4,DISASTER_RELIEF,0.155
user_131,5,EDUCATION,0.132
user_131,6,ENVIRONMENT,0.114
user_132,1,ENVIRONMENT,0.199
user_132,2,DISASTER_RELIEF,0.191
user_132,3,ANIMAL_RESCUE,0.189
user_132,4,COMMUNITY_HEALTH,0.155
user_132,5,CLEAN_WATER,0.137
user_132,6,EDUCATION,0.129
user_133,1,EDUCATION,0.193
user_133,2,DISASTER_RELIEF,0.188
user_133,3,CLEAN_WATER,0.178
user_133,4,COMMUNITY_HEALTH,0.166
user_133,5,ENVIRONMENT,0.140
user_133,6,ANIMAL_RESCUE,0.135
user_134,1,CLEAN_WATER,0.185
user_134,2,COMMUNITY_HEALTH,0.179
user_134,3,ANIMAL_RESCUE,0.178
user_134,4,ENVIRONMENT,0.173
user_134,5,DISASTER_RELIEF,0.156
user_134,6,EDUCATION,0.129
user_135,1,ENVIRONMENT,0.215
user_135,2,ANIMAL_RESCUE,0.196
user_135,3,DISASTER_RELIEF,0.161
user_135,4,COMMUNITY_HEALTH,0.150
user_135,5,CLEAN_WATER,0.140
user_135,6,EDUCATION,0.139
user_136,1,ANIMAL_RESCUE,0.205
user_136,2,ENVIRONMENT,0.187
user_136,3,EDUCATION,0.173
user_136,4,CLEAN_WATER,0.158
user_136,5,DISASTER_RELIEF,0.148
user_136,6,COMMUNITY_HEALTH,0.129
user_137,1,COMMUNITY_HEALTH,0.194
user_137,2,CLEAN_WATER,0.179
user_137,3,DISASTER_RELIEF,0.174
user_137,4,ANIMAL_RESCUE,0.171
user_137,5,EDUCATION,0.146
user_137,6,ENVIRONMENT,0.135
user_138,1,DISASTER_RELIEF,0.200
user_138,2,ANIMAL_RESCUE,0.182
user_138,3,ENVIRONMENT,0.162
user_138,4,CLEAN_WATER,0.154
user_138,5,COMMUNITY_HEALTH,0.153
user_138,6,EDUCATION,0.149
user_139,1,ANIMAL_RESCUE,0.238
user_139,2,ENVIRONMENT,0.203
user_139,3,EDUCATION,0.164
user_139,4,CLEAN_WATER,0.154
user_139,5,DISASTER_RELIEF,0.128
user_139,6,COMMUNITY_HEALTH,0.113
user_14,1,CLEAN_WATER,0.187
user_14,2,ANIMAL_RESCUE,0.184
user_14,3,ENVIRONMENT,0.164
user_14,4,EDUCATION,0.156
user_14,5,COMMUNITY_HEALTH,0.155
user_14,6,DISASTER_RELIEF,0.154
user_140,1,ENVIRONMENT,0.198
user_140,2,ANIMAL_RESCUE,0.192
user_140,3,EDUCATION,0.187
user_140,4,CLEAN_WATER,0.150
user_140,5,COMMUNITY_HEALTH,0.141
user_140,6,DISASTER_RELIEF,0.132
user_141,1,DISASTER_RELIEF,0.254
user_141,2,COMMUNITY_HEALTH,0.165
user_141,3,ENVIRONMENT,0.158
user_141,4,EDUCATION,0.153
user_141,5,ANIMAL_RESCUE,0.147
user_141,6,CLEAN_WATER,0.123
user_142,1,CLEAN_WATER,0.199
user_142,2,ANIMAL_RESCUE,0.181
user_142,3,ENVIRONMENT,0.177
user_142,4,EDUCATION,0.162
user_142,5,COMMUNITY_HEALTH,0.150
user_142,6,DISASTER_RELIEF,0.132
user_143,1,EDUCATION,0.207
user_143,2,DISASTER_RELIEF,0.171
user_143,3,COMMUNITY_HEALTH,0.169
user_143,4,CLEAN_WATER,0.163
user_143,5,ANIMAL_RESCUE,0.148
user_143,6,ENVIRONMENT,0.142
user_144,1,ANIMAL_RESCUE,0.215
user_144,2,ENVIRONMENT,0.192
user_144,3,CLEAN_WATER,0.158
user_144,4,EDUCATION,0.157
user_144,5,DISASTER_RELIEF,0.147
user_144,6,COMMUNITY_HEALTH,0.131
user_145,1,COMMUNITY_HEALTH,0.209
user_145,2,ANIMAL_RESCUE,0.199
user_145,3,CLEAN_WATER,0.179
user_145,4,EDUCATION,0.153
user_145,5,DISASTER_RELIEF,0.143
user_145,6,ENVIRONMENT,0.117
user_146,1,COMMUNITY_HEALTH,0.207
user_146,2,ANIMAL_RESCUE,0.193
user_146,3,CLEAN_WATER,0.190
user_146,4,EDUCATION,0.144
user_146,5,DISASTER_RELIEF,0.140
user_146,6,ENVIRONMENT,0.126
user_147,1,DISASTER_RELIEF,0.231
user_147,2,COMMUNITY_HEALTH,0.192
user_147,3,ANIMAL_RESCUE,0.164
user_147,4,CLEAN_WATER,0.141
user_147,5,EDUCATION,0.136
user_147,6,ENVIRONMENT,0.135
user_148,1,DISASTER_RELIEF,0.232
user_148,2,COMMUNITY_HEALTH,0.165
user_148,3,EDUCATION,0.162
user_148,4,ANIMAL_RESCUE,0.160
user_148,5,ENVIRONMENT,0.152
user_148,6,CLEAN_WATER,0.130
user_149,1,ANIMAL_RESCUE,0.197
user_149,2,CLEAN_WATER,0.173
user_149,3,COMMUNITY_HEALTH,0.165
user_149,4,ENVIRONMENT,0.162
user_149,5,DISASTER_RELIEF,0.152
user_149,6,EDUCATION,0.151
user_15,1,DISASTER_RELIEF,0.195
user_15,2,ANIMAL_RESCUE,0.194
user_15,3,ENVIRONMENT,0.157
user_15,4,COMMUNITY_HEALTH,0.156
user_15,5,CLEAN_WATER,0.150
user_15,6,EDUCATION,0.149
user_150,1,ANIMAL_RESCUE,0.238
user_150,2,CLEAN_WATER,0.166
user_150,3,ENVIRONMENT,0.162
user_150,4,DISASTER_RELIEF,0.146
user_150,5,EDUCATION,0.145
user_150,6,COMMUNITY_HEALTH,0.144
user_151,1,CLEAN_WATER,0.200
user_151,2,EDUCATION,0.198
user_151,3,COMMUNITY_HEALTH,0.187
user_151,4,ANIMAL_RESCUE,0.163
user_151,5,DISASTER_RELIEF,0.135
user_151,6,ENVIRONMENT,0.119
user_152,1,COMMUNITY_HEALTH,0.185
user_152,2,CLEAN_WATER,0.182
user_152,3,DISASTER_RELIEF,0.181
user_152,4,ANIMAL_RESCUE,0.166
user_152,5,EDUCATION,0.153
user_152,6,ENVIRONMENT,0.134
user_153,1,DISASTER_RELIEF,0.200
user_153,2,ANIMAL_RESCUE,0.189
user_153,3,COMMUNITY_HEALTH,0.185
user_153,4,EDUCATION,0.145
user_153,5,CLEAN_WATER,0.141
user_153,6,ENVIRONMENT,0.140
user_154,1,EDUCATION,0.203
user_154,2,ENVIRONMENT,0.193
user_154,3,ANIMAL_RESCUE,0.175
user_154,4,CLEAN_WATER,0.154
user_154,5,COMMUNITY_HEALTH,0.145
user_154,6,DISASTER_RELIEF,0.130
user_155,1,ENVIRONMENT,0.210
user_155,2,ANIMAL_RESCUE,0.190
user_155,3,DISASTER_RELIEF,0.162
user_155,4,CLEAN_WATER,0.149
user_155,5,COMMUNITY_HEALTH,0.146
user_155,6,EDUCATION,0.142
user_156,1,DISASTER_RELIEF,0.241
user_156,2,COMMUNITY_HEALTH,0.179
user_156,3,EDUCATION,0.156
user_156,4,ENVIRONMENT,0.156
user_156,5,ANIMAL_RESCUE,0.149
user_156,6,CLEAN_WATER,0.120
user_157,1,ANIMAL_RESCUE,0.224
user_157,2,COMMUNITY_HEALTH,0.182
user_157,3,CLEAN_WATER,0.164
user_157,4,DISASTER_RELIEF,0.161
user_157,5,ENVIRONMENT,0.149
user_157,6,EDUCATION,0.120
user_158,1,CLEAN_WATER,0.181
user_158,2,ENVIRONMENT,0.180
user_158,3,COMMUNITY_HEALTH,0.178
user_158,4,DISASTER_RELIEF,0.171
user_158,5,ANIMAL_RESCUE,0.163
user_158,6,EDUCATION,0.127
user_159,1,ENVIRONMENT,0.209
user_159,2,ANIMAL_RESCUE,0.203
user_159,3,DISASTER_RELIEF,0.163
user_159,4,COMMUNITY_HEALTH,0.151
user_159,5,EDUCATION,0.142
user_159,6,CLEAN_WATER,0.132
user_16,1,ANIMAL_RESCUE,0.218
user_16,2,ENVIRONMENT,0.197
user_16,3,EDUCATION,0.167
user_16,4,CLEAN_WATER,0.162
user_16,5,DISASTER_RELIEF,0.133
user_16,6,COMMUNITY_HEALTH,0.124
user_160,1,COMMUNITY_HEALTH,0.189
user_160,2,CLEAN_WATER,0.187
user_160,3,ANIMAL_RESCUE,0.183
user_160,4,EDUCATION,0.167
user_160,5,DISASTER_RELIEF,0.142
user_160,6,ENVIRONMENT,0.132
user_161,1,COMMUNITY_HEALTH,0.212
user_161,2,ANIMAL_RESCUE,0.186
user_161,3,CLEAN_WATER,0.183
user_161,4,DISASTER_RELIEF,0.155
user_161,5,EDUCATION,0.154
user_161,6,ENVIRONMENT,0.110
user_162,1,EDUCATION,0.211
user_162,2,ANIMAL_RESCUE,0.186
user_162,3,ENVIRONMENT,0.178
user_162,4,CLEAN_WATER,0.170
user_162,5,COMMUNITY_HEALTH,0.128
user_162,6,DISASTER_RELIEF,0.126
user_163,1,ENVIRONMENT,0.202
user_163,2,ANIMAL_RESCUE,0.190
user_163,3,EDUCATION,0.185
user_163,4,CLEAN_WATER,0.156
user_163,5,COMMUNITY_HEALTH,0.139
user_163,6,DISASTER_RELIEF,0.129
user_164,1,CLEAN_WATER,0.213
user_164,2,COMMUNITY_HEALTH,0.197
user_164,3,EDUCATION,0.173
user_164,4,ANIMAL_RESCUE,0.154
user_164,5,DISASTER_RELIEF,0.137
user_164,6,ENVIRONMENT,0.126
user_165,1,ANIMAL_RESCUE,0.230
user_165,2,ENVIRONMENT,0.186
user_165,3,DISASTER_RELIEF,0.162
user_165,4,COMMUNITY_HEALTH,0.153
user_165,5,CLEAN_WATER,0.148
user_165,6,EDUCATION,0.121
user_166,1,COMMUNITY_HEALTH,0.206
user_166,2,ANIMAL_RESCUE,0.177
user_166,3,CLEAN_WATER,0.174
user_166,4,DISASTER_RELIEF,0.156
user_166,5,ENVIRONMENT,0.149
user_166,6,EDUCATION,0.138
user_167,1,DISASTER_RELIEF,0.236
user_167,2,EDUCATION,0.172
user_167,3,COMMUNITY_HEALTH,0.163
user_167,4,ANIMAL_RESCUE,0.149
user_167,5,ENVIRONMENT,0.149
user_167,6,CLEAN_WATER,0.130
user_168,1,ANIMAL_RESCUE,0.200
user_168,2,EDUCATION,0.188
user_168,3,COMMUNITY_HEALTH,0.166
user_168,4,CLEAN_WATER,0.159
user_168,5,ENVIRONMENT,0.145
user_168,6,DISASTER_RELIEF,0.141
user_169,1,ANIMAL_RESCUE,0.221
user_169,2,COMMUNITY_HEALTH,0.200
user_169,3,CLEAN_WATER,0.178
user_169,4,EDUCATION,0.154
user_169,5,DISASTER_RELIEF,0.139
user_169,6,ENVIRONMENT,0.110
user_17,1,CLEAN_WATER,0.189
user_17,2,COMMUNITY_HEALTH,0.188
user_17,3,ANIMAL_RESCUE,0.184
user_17,4,EDUCATION,0.156
user_17,5,DISASTER_RELIEF,0.149
user_17,6,ENVIRONMENT,0.133
user_170,1,EDUCATION,0.206
user_170,2,ANIMAL_RESCUE,0.202
user_170,3,CLEAN_WATER,0.163
user_170,4,ENVIRONMENT,0.157
user_170,5,COMMUNITY_HEALTH,0.156
user_170,6,DISASTER_RELIEF,0.115
user_171,1,COMMUNITY_HEALTH,0.186
user_171,2,CLEAN_WATER,0.184
user_171,3,ANIMAL_RESCUE,0.173
user_171,4,ENVIRONMENT,0.173
user_171,5,DISASTER_RELIEF,0.158
user_171,6,EDUCATION,0.125
user_172,1,ANIMAL_RESCUE,0.211
user_172,2,DISASTER_RELIEF,0.186
user_172,3,COMMUNITY_HEALTH,0.182
user_172,4,CLEAN_WATER,0.152
user_172,5,ENVIRONMENT,0.147
user_172,6,EDUCATION,0.122
user_173,1,ANIMAL_RESCUE,0.201
user_173,2,ENVIRONMENT,0.178
user_173,3,COMMUNITY_HEALTH,0.175
user_173,4,DISASTER_RELIEF,0.169
user_173,5,EDUCATION,0.145
user_173,6,CLEAN_WATER,0.132
user_174,1,EDUCATION,0.211
user_174,2,CLEAN_WATER,0.174
user_174,3,DISASTER_RELIEF,0.166
user_174,4,COMMUNITY_HEALTH,0.159
user_174,5,ENVIRONMENT,0.148
user_174,6,ANIMAL_RESCUE,0.141
user_175,1,EDUCATION,0.208
user_175,2,ANIMAL_RESCUE,0.186
user_175,3,CLEAN_WATER,0.167
user_175,4,ENVIRONMENT,0.159
user_175,5,DISASTER_RELIEF,0.143
user_175,6,COMMUNITY_HEALTH,0.137
user_176,1,ANIMAL_RESCUE,0.196
user_176,2,ENVIRONMENT,0.195
user_176,3,CLEAN_WATER,0.184
user_176,4,COMMUNITY_HEALTH,0.161
user_176,5,DISASTER_RELIEF,0.143
user_176,6,EDUCATION,0.121
user_177,1,ANIMAL_RESCUE,0.229
user_177,2,COMMUNITY_HEALTH,0.176
user_177,3,DISASTER_RELIEF,0.168
user_177,4,CLEAN_WATER,0.154
user_177,5,ENVIRONMENT,0.151
user_177,6,EDUCATION,0.122
user_178,1,ANIMAL_RESCUE,0.206
user_178,2,DISASTER_RELIEF,0.177
user_178,3,ENVIRONMENT,0.156
user_178,4,CLEAN_WATER,0.156
user_178,5,EDUCATION,0.155
user_178,6,COMMUNITY_HEALTH,0.151
user_179,1,ANIMAL_RESCUE,0.218
user_179,2,ENVIRONMENT,0.177
user_179,3,DISASTER_RELIEF,0.165
user_179,4,COMMUNITY_HEALTH,0.155
user_179,5,CLEAN_WATER,0.150
user_179,6,EDUCATION,0.135
user_18,1,DISASTER_RELIEF,0.230
user_18,2,COMMUNITY_HEALTH,0.203
user_18,3,ANIMAL_RESCUE,0.162
user_18,4,EDUCATION,0.138
user_18,5,CLEAN_WATER,0.136
user_18,6,ENVIRONMENT,0.131
user_180,1,ANIMAL_RESCUE,0.180
user_180,2,EDUCATION,0.175
user_180,3,CLEAN_WATER,0.173
user_180,4,ENVIRONMENT,0.160
user_180,5,COMMUNITY_HEALTH,0.160
user_180,6,DISASTER_RELIEF,0.151
user_181,1,COMMUNITY_HEALTH,0.202
user_181,2,ANIMAL_RESCUE,0.183
user_181,3,CLEAN_WATER,0.174
user_181,4,DISASTER_RELIEF,0.169
user_181,5,ENVIRONMENT,0.141
user_181,6,EDUCATION,0.130
user_182,1,EDUCATION,0.194
user_182,2,DISASTER_RELIEF,0.182
user_182,3,CLEAN_WATER,0.179
user_182,4,COMMUNITY_HEALTH,0.168
user_182,5,ENVIRONMENT,0.141
user_182,6,ANIMAL_RESCUE,0.137
user_183,1,COMMUNITY_HEALTH,0.193
user_183,2,CLEAN_WATER,0.177
user_183,3,ANIMAL_RESCUE,0.173
user_183,4,EDUCATION,0.167
user_183,5,DISASTER_RELIEF,0.149
user_183,6,ENVIRONMENT,0.141
user_184,1,ANIMAL_RESCUE,0.213
user_184,2,DISASTER_RELIEF,0.174
user_184,3,COMMUNITY_HEALTH,0.173
user_184,4,CLEAN_WATER,0.157
user_184,5,ENVIRONMENT,0.147
user_184,6,EDUCATION,0.136
user_185,1,ANIMAL_RESCUE,0.208
user_185,2,ENVIRONMENT,0.191
user_185,3,CLEAN_WATER,0.157
user_185,4,DISASTER_RELIEF,0.157
user_185,5,EDUCATION,0.156
user_185,6,COMMUNITY_HEALTH,0.131
user_186,1,ENVIRONMENT,0.221
user_186,2,ANIMAL_RESCUE,0.189
user_186,3,DISASTER_RELIEF,0.156
user_186,4,EDUCATION,0.151
user_186,5,COMMUNITY_HEALTH,0.147
user_186,6,CLEAN_WATER,0.136
user_187,1,DISASTER_RELIEF,0.213
user_187,2,COMMUNITY_HEALTH,0.176
user_187,3,ANIMAL_RESCUE,0.167
user_187,4,ENVIRONMENT,0.162
user_187,5,EDUCATION,0.159
user_187,6,CLEAN_WATER,0.123
user_188,1,ANIMAL_RESCUE,0.215
user_188,2,ENVIRONMENT,0.187
user_188,3,DISASTER_RELIEF,0.165
user_188,4,COMMUNITY_HEALTH,0.159
user_188,5,CLEAN_WATER,0.143
user_188,6,EDUCATION,0.130
user_189,1,DISASTER_RELIEF,0.215
user_189,2,COMMUNITY_HEALTH,0.178
user_189,3,EDUCATION,0.175
user_189,4,CLEAN_WATER,0.168
user_189,5,ANIMAL_RESCUE,0.134
user_189,6,ENVIRONMENT,0.130
user_19,1,DISASTER_RELIEF,0.218
user_19,2,EDUCATION,0.185
user_19,3,COMMUNITY_HEALTH,0.166
user_19,4,ANIMAL_RESCUE,0.154
user_19,5,ENVIRONMENT,0.154
user_19,6,CLEAN_WATER,0.123
user_190,1,ANIMAL_RESCUE,0.217
user_190,2,ENVIRONMENT,0.179
user_190,3,DISASTER_RELIEF,0.163
user_190,4,COMMUNITY_HEALTH,0.159
user_190,5,CLEAN_WATER,0.151
user_190,6,EDUCATION,0.131
user_191,1,ANIMAL_RESCUE,0.201
user_191,2,COMMUNITY_HEALTH,0.194
user_191,3,CLEAN_WATER,0.188
user_191,4,ENVIRONMENT,0.154
user_191,5,DISASTER_RELIEF,0.144
user_191,6,EDUCATION,0.119
user_192,1,ANIMAL_RESCUE,0.200
user_192,2,COMMUNITY_HEALTH,0.199
user_192,3,CLEAN_WATER,0.186
user_192,4,ENVIRONMENT,0.147
user_192,5,DISASTER_RELIEF,0.140
user_192,6,EDUCATION,0.127
user_193,1,ANIMAL_RESCUE,0.201
user_193,2,COMMUNITY_HEALTH,0.194
user_193,3,CLEAN_WATER,0.178
user_193,4,DISASTER_RELIEF,0.155
user_193,5,ENVIRONMENT,0.150
user_193,6,EDUCATION,0.122
user_194,1,COMMUNITY_HEALTH,0.208
user_194,2,ANIMAL_RESCUE,0.191
user_194,3,CLEAN_WATER,0.168
user_194,4,DISASTER_RELIEF,0.166
user_194,5,ENVIRONMENT,0.145
user_194,6,EDUCATION,0.123
user_195,1,ANIMAL_RESCUE,0.252
user_195,2,CLEAN_WATER,0.178
user_195,3,ENVIRONMENT,0.154
user_195,4,DISASTER_RELIEF,0.142
user_195,5,EDUCATION,0.142
user_195,6,COMMUNITY_HEALTH,0.132
user_196,1,EDUCATION,0.205
user_196,2,COMMUNITY_HEALTH,0.196
user_196,3,CLEAN_WATER,0.186
user_196,4,ANIMAL_RESCUE,0.166
user_196,5,DISASTER_RELIEF,0.131
user_196,6,ENVIRONMENT,0.116
user_197,1,EDUCATION,0.228
user_197,2,ANIMAL_RESCUE,0.176
user_197,3,ENVIRONMENT,0.175
user_197,4,CLEAN_WATER,0.168
user_197,5,COMMUNITY_HEALTH,0.134
user_197,6,DISASTER_RELIEF,0.117
user_198,1,EDUCATION,0.204
user_198,2,ANIMAL_RESCUE,0.194
user_198,3,ENVIRONMENT,0.173
user_198,4,CLEAN_WATER,0.166
